boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
75698798592,23009675453,11145311419,719052352,11145311682,10774770476,370540943,10786720737,358590682,10774770476,10774770476,0,370528999,11950244,358578755,11944,17,11927,10774770476,0,359120395,347538066,11275498,10911876,133106,128813,695168807,23883545,695940385,23111967,695168807,695168807,0,23882810,771577,23111233,735,1,734,695168807,0,23177774,22429043,701146,678425,3890,3765
75967234048,23091270036,11184833847,721602160,11184834029,10812977718,371856129,10824970836,359863011,10812977718,10812977718,0,371844141,11993101,359851040,11988,17,11971,10812977718,0,360394384,348770507,11315991,10951092,133766,129441,697633619,23968541,698407995,23194165,697633619,697633619,0,23967801,774375,23193426,740,1,739,697633619,0,23260230,22508803,703662,680839,3909,3784
76235669504,23172864617,11224356125,724151975,11224356517,10851184336,373171789,10863219748,361136377,10851184336,10851184336,0,373159761,12035395,361124366,12028,17,12011,10851184336,0,361668677,350003839,11356631,10990429,134453,130098,700098477,24053498,700875552,23276423,700098477,700098477,0,24052757,777074,23275683,741,1,740,700098477,0,23342568,22588519,706255,683356,3934,3808
76504104960,23254459155,11263878597,726701793,11263878765,10889392468,374486129,10901469697,362408900,10889392468,10889392468,0,374474061,12077212,362396849,12068,17,12051,10889392468,0,362941696,351236322,11397246,11029787,135119,130740,702563604,24138189,703343414,23358379,702563604,702563604,0,24137447,779809,23357638,742,1,741,702563604,0,23424649,22667944,708833,685857,3965,3837
76772540416,23336053772,11303400980,729251643,11303401149,10927600620,375800360,10939720436,363680544,10927600620,10927600620,0,375788252,12119799,363668453,12108,17,12091,10927600620,0,364214394,352467771,11438142,11069365,135716,131317,705028674,24222969,705811270,23440373,705028674,705028674,0,24222226,782595,23439631,743,1,742,705028674,0,23506777,22747356,711465,688419,3984,3856
77040975872,23417648346,11342923282,731801503,11342923561,10965806729,377116553,10977968943,364954339,10965806729,10965806729,0,377104408,12162197,364942211,12145,17,12128,10965806729,0,365489286,353701608,11478763,11108663,136359,131940,707493841,24307662,708279200,23522303,707493841,707493841,0,24306917,785358,23521559,745,1,744,707493841,0,23588803,22826702,714108,690980,4006,3877
77309411328,23499243001,11382445793,734351310,11382445898,11004014816,378430977,11016219610,366226183,11004014816,11004014816,0,378418806,12204777,366214029,12171,17,12154,11004014816,0,366762316,354933375,11519501,11148103,136989,132551,709958654,24392656,710746804,23604506,709958654,709958654,0,24391910,788149,23603761,746,1,745,709958654,0,23671106,22906305,716777,693561,4027,3895
77577846784,23580837588,11421968249,736901110,11421968229,11042224525,379743724,11054471788,367496461,11042224525,11042224525,0,379731508,12247246,367484262,12216,17,12199,11042224525,0,368033715,356163658,11560170,11187437,137623,133167,712423469,24477641,713214406,23686704,712423469,712423469,0,24476894,790936,23685958,747,1,746,712423469,0,23753399,22985894,719450,696152,4045,3912
77846282240,23662432112,11461490528,739450968,11461490616,11080431378,381059150,11092721135,368769393,11080431378,11080431378,0,381046891,12289740,368757151,12259,17,12242,11080431378,0,369307715,357396478,11600943,11226917,138233,133756,714888707,24562261,715682425,23768543,714888707,714888707,0,24561512,793717,23767795,749,1,748,714888707,0,23835386,23065188,722059,698673,4067,3934
78114717696,23744026729,11501012885,742000787,11501013057,11118639256,382373629,11130971329,370041556,11118639256,11118639256,0,382361323,12332056,370029267,12306,17,12289,11118639256,0,370580591,358628390,11641822,11266466,138910,134411,717354092,24646695,718150520,23850267,717354092,717354092,0,24645942,796427,23849515,753,1,752,717354092,0,23917204,23144381,724646,701176,4092,3958
