boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
11005853696,3345378373,1602993766,139390756,1602993851,1530460285,72533481,1533613028,69380738,1530460285,1530460285,0,72527859,3152725,69375134,5622,18,5604,1530460285,0,69553181,66529741,2928154,2800833,46524,44560,0,0,133096906,6293850,133370534,6020222,133096906,133096906,0,6293409,273628,6019781,441,0,441,133096906,0,6047536,5784383,244058,233657,1815,1741,0,0
11274289152,3426972901,1642091198,142790495,1642091208,1567787138,74304060,1571016544,71074654,1567787138,1567787138,0,74298288,3229388,71068900,5772,18,5754,1567787138,0,71249222,68152388,3000987,2870459,48079,46053,0,0,136343149,6447346,136623361,6167134,136343149,136343149,0,6446891,280212,6166679,455,0,455,136343149,0,6194729,5925269,250267,239594,1895,1816,0,0
11542724608,3508567522,1681188593,146190311,1681188618,1605114219,76074374,1608420473,72768120,1605114219,1605114219,0,76068457,3306236,72762221,5917,18,5899,1605114219,0,72944765,69774363,3074006,2940269,49686,47589,0,0,139589057,6601254,139875809,6314502,139589057,139589057,0,6600789,286752,6314037,465,0,465,139589057,0,6342390,6066667,256433,245484,1966,1886,0,0
11811160064,3590162225,1720286053,149590080,1720286092,1642442385,77843668,1645825512,74460541,1642442385,1642442385,0,77837610,3383109,74454501,6058,18,6040,1642442385,0,74639651,71395643,3146598,3009653,51361,49205,0,0,142835011,6755069,143128511,6461569,142835011,142835011,0,6754590,293500,6461090,479,0,479,142835011,0,6489908,6207713,262653,251432,2029,1945,0,0
12079595520,3671756731,1759383455,152989837,1759383439,1679770807,79612648,1683231027,76152428,1679770807,1679770807,0,79606466,3460202,76146264,6182,18,6164,1679770807,0,76333970,73016081,3219611,3079516,52885,50667,0,0,146081023,6908814,146381140,6608697,146081023,146081023,0,6908328,300117,6608211,486,0,486,146081023,0,6637300,6348756,268923,257440,2105,2015,0,0
12348030976,3753351308,1798480748,156389602,1798480958,1717096474,81384274,1720633736,77847012,1717096474,1717096474,0,81377951,3537244,77840707,6323,18,6305,1717096474,0,78031156,74639415,3292304,3149081,54491,52211,0,0,149327006,7062596,149633785,6755817,149327006,149327006,0,7062105,306779,6755326,491,0,491,149327006,0,6784826,6489895,275103,263350,2176,2081,0,0
12616466432,3834945902,1837578166,159789432,1837578304,1754422088,83156078,1758036900,79541266,1754422088,1754422088,0,83149609,3614793,79534816,6469,19,6450,1754422088,0,79728203,76262313,3365300,3218761,56106,53742,0,0,152572149,7217283,152885640,6903792,152572149,152572149,0,7216781,313491,6903290,502,0,502,152572149,0,6933202,6631820,281317,269306,2262,2164,0,0
12884901888,3916540453,1876675547,163189185,1876675721,1791746504,84929043,1795438154,81237393,1791746504,1791746504,0,84922452,3691630,81230822,6591,20,6571,1791746504,0,81426278,77886843,3438364,3288607,57810,55372,0,0,155818286,7370899,156138536,7050649,155818286,155818286,0,7370388,320250,7050138,511,0,511,155818286,0,7080540,6772673,287513,275232,2335,2233,0,0
13153337344,3998134954,1915772943,166588963,1915773048,1829071132,86701811,1832838941,82934002,1829071132,1829071132,0,86695066,3767789,82927277,6745,20,6725,1829071132,0,83124096,79511645,3511444,3358619,59526,57013,0,0,159063779,7525184,159390684,7198279,159063779,159063779,0,7524660,326905,7197755,524,0,524,159063779,0,7228447,6914181,293790,281255,2423,2319,0,0
13421772800,4079729567,1954870328,169988713,1954870526,1866396626,88473702,1870241039,84629289,1866396626,1866396626,0,88466801,3844393,84622408,6901,20,6881,1866396626,0,84821082,81135254,3584495,3428513,61224,58641,0,0,162308785,7679928,162642323,7346390,162308785,162308785,0,7679386,333538,7345848,542,0,542,162308785,0,7376774,7056169,300118,287292,2494,2387,0,0
